dateTime, battery, fileSize, sleepiness, pressure, lux, heartRate, ppgGreen, ppgRed, ppgIR, saturation, accelerometerZ, accelerometerX, accelerometerY, gyroscopeZ, gyroscopeX, gyroscopeY
2022-05-06T01:08:11-03:00,8.0,0.7133169,1,1021.5769,0.0,83.0,2013719.0,6182579.0,6505603.0,97.0,4.63278,-1.0654198,8.726865,-0.010995574,-0.0036651916,0.0061086523
2022-05-06T01:08:14-03:00,8.0,0.7134752,1,1021.5503,0.0,79.0,2024014.0,6174738.0,6496535.0,97.0,4.673482,-1.0223241,8.683769,0.004886922,0.002443461,0.0061086523
2022-05-06T01:08:17-03:00,8.0,0.71363163,1,1021.5791,0.0,76.0,1997006.0,6171669.0,6494781.0,97.0,4.5777135,-1.0414777,8.74123,0.007330383,-0.002443461,0.002443461
2022-05-06T01:08:20-03:00,8.0,0.713789,1,1021.5979,0.0,74.0,1982519.0,6181073.0,6500829.0,97.0,4.654328,-0.59136784,8.78672,0.064751714,0.007330383,0.008552114
2022-05-06T01:08:23-03:00,8.0,0.7139435,1,1021.5647,0.0,76.0,1985208.0,6191661.0,6499311.0,97.0,4.6902413,-0.7086837,8.7125,-0.030543262,-0.008552114,0.0036651916
2022-05-06T01:08:26-03:00,8.0,0.71410084,1,1021.5464,0.0,79.0,1986740.0,6186599.0,6489890.0,97.0,4.673482,-0.81163436,8.683769,0.014660766,0.008552114,-0.002443461
2022-05-06T01:08:29-03:00,8.0,0.71425915,1,1021.58545,0.0,81.0,1934434.0,6188809.0,6497807.0,97.0,4.7189717,-0.81163436,8.719683,0.004886922,0.004886922,-0.0012217305
2022-05-06T01:08:32-03:00,8.0,0.7144203,1,1021.53735,0.0,79.0,1970595.0,6191031.0,6507229.0,98.0,4.735731,-0.8475474,8.695741,0.012217305,0.0,-0.0012217305
2022-05-06T01:08:35-03:00,8.0,0.714571,1,1021.54346,0.0,74.0,2009645.0,6177217.0,6487189.0,98.0,4.697424,-0.89782566,8.693346,-0.009773844,-0.0012217305,0.004886922
2022-05-06T01:08:38-03:00,8.0,0.71473026,1,1021.5698,0.0,73.0,1950197.0,6183217.0,6490975.0,98.0,4.733337,-0.8379706,8.702923,0.0012217305,0.0,0.002443461
